,Rank_avg,Review,Year,Genre,Publisher,Game Title,NA_avg,EU_avg,JP_avg,Other_avg,Global_avg
237,238,82.74,2006,Racing,Sony Computer Entertainment,MotorStorm,1.5150000000000001,1.58,0.06,0.66,3.825
238,239,91.0,2011,Role-Playing,Bethesda Softworks,The Elder Scrolls V: Skyrim,1.02,1.775,0.0,0.54,3.34
239,240,89.32,2005,Fighting,Namco Bandai Games,Tekken 5,0.93,1.94,0.31,0.7,3.87
240,241,87.0,1988,Role-Playing,Enix Corporation,Dragon Warrior III,0.1,0.0,3.77,0.0,3.87
241,242,80.0,2010,Sports,Sony Computer Entertainment,Sports Champions,2.0300000000000002,1.055,0.1,0.495,3.68
242,243,90.83,2004,Sports,Konami Digital Entertainment,World Soccer Winning Eleven 8 International,0.16,1.89,1.12,0.68,3.85
243,244,61.0,2007,Misc,Nintendo,Flash Focus: Vision Training in Minutes a Day,0.86,1.5550000000000002,1.05,0.35,3.815
244,245,75.0,1995,Misc,Sony Computer Entertainment,Namco Museum Vol.1,2.12,1.44,0.22,0.06,3.84
245,246,89.0,1992,Action,Nintendo,The Legend of Zelda: Link's Awakening,2.21,0.96,0.54,0.13,3.83
246,247,90.0,2009,Role-Playing,Nintendo,Mario & Luigi: Bowser's Inside Story,2.215,0.475,0.81,0.27,3.7750000000000004
247,248,70.26,2007,Misc,Nintendo,Big Brain Academy: Wii Degree,1.045,1.9,0.41,0.425,3.77
248,249,77.0,2011,Simulation,Nintendo,Nintendogs + cats,1.2999999999999998,1.1400000000000001,0.7,0.23500000000000001,3.375
249,250,75.0,2011,Sports,Sega,Mario & Sonic at the London 2012 Olympic Games,1.095,1.83,0.265,0.41500000000000004,3.605
250,251,80.0,2008,Action,Activision,LEGO Indiana Jones: The Original Adventures,2.355,1.0,0.0,0.355,3.7
251,252,85.0,1996,Action,Virgin Interactive,Resident Evil Director's Cut,1.82,1.24,0.47,0.25,3.77
252,253,86.0,2007,Platform,Sony Computer Entertainment,Ratchet & Clank: Size Matters,1.385,1.37,0.1,0.855,3.705
253,254,80.26,2002,Simulation,Electronic Arts,The Sims: Unleashed,2.03,1.56,0.0,0.17,3.76
254,255,86.0,2007,Platform,Nintendo,Super Paper Mario,1.915,0.835,0.59,0.315,3.6449999999999996
255,256,62.0,2001,Action,Electronic Arts,Harry Potter and the Sorcerer's Stone,1.37,2.0,0.14,0.22,3.73
256,257,88.21,1999,Action,Eidos Interactive,Resident Evil 3: Nemesis,1.3,0.77,1.54,0.11,3.72
257,258,88.0,2000,Platform,Sony Computer Entertainment,Spyro: Year of the Dragon,1.93,1.58,0.0,0.19,3.71
258,259,84.0,2004,Sports,Electronic Arts,FIFA Soccer 2005,0.5799999999999998,2.48,0.04,0.59,3.7
259,260,78.0,1998,Strategy,Nintendo,Pokémon Trading Card Game,1.49,0.73,1.38,0.1,3.7
260,261,85.0,2007,Simulation,Electronic Arts,MySims,1.58,1.59,0.08,0.405,3.6550000000000002
261,262,89.0,2002,Sports,Activision,Tony Hawk's Pro Skater 4,2.13,1.18,0.01,0.35,3.67
262,263,74.5,2005,Racing,Take-Two Interactive,Midnight Club 3: DUB Edition,1.635,1.205,0.0,0.78,3.62
263,264,92.38,1998,Platform,Nintendo,Banjo-Kazooie,1.87,1.13,0.55,0.1,3.65
264,265,83.4,2002,Shooter,Sony Computer Entertainment,SOCOM: U.S. Navy SEALs,2.53,0.81,0.06,0.24,3.65
265,266,82.0,2008,Misc,Activision,Guitar Hero: World Tour,2.315,0.95,0.0,0.345,3.61
266,267,90.22,2001,Platform,Sony Computer Entertainment,Jak and Daxter: The Precursor Legacy,2.08,1.09,0.15,0.33,3.64
267,268,86.0,2009,Sports,Electronic Arts,FIFA Soccer 10,0.5800000000000001,2.435,0.05,0.515,3.58
268,269,81.0,2007,Sports,Konami Digital Entertainment,Pro Evolution Soccer 2008,0.05,1.165,0.64,1.7650000000000001,3.63
269,270,95.77,2005,Action,Capcom,Resident Evil 4,2.08,0.83,0.46,0.25,3.62
270,271,69.04,2001,Racing,Electronic Arts,The Simpsons: Road Rage,2.02,1.17,0.0,0.42,3.61
271,272,70.92,2007,Simulation,505 Games,Cooking Mama 2: Dinner With Friends,1.58,1.48,0.1,0.39,3.5599999999999996
272,273,79.43,2001,Action,Nintendo,Luigi's Mansion,2.38,0.67,0.46,0.1,3.6
273,274,81.0,2000,Fighting,THQ,WWF SmackDown!,2.01,1.35,0.06,0.16,3.58
274,275,78.03,2006,Action,Take-Two Interactive,Grand Theft Auto: Liberty City Stories,1.56,1.4,0.07,0.5,3.54
275,276,73.0,2002,Action,Sony Computer Entertainment,The Getaway,1.23,1.77,0.05,0.49,3.54
276,277,78.01,1997,Action,Eidos Interactive,Tomb Raider III: Adventures of Lara Croft,1.66,1.58,0.12,0.18,3.54
277,278,75.18,2001,Shooter,Electronic Arts,James Bond 007: Agent Under Fire,1.9,1.13,0.1,0.41,3.53
278,279,84.0,2005,Action,Eidos Interactive,LEGO Star Wars: The Video Game,1.98,1.14,0.01,0.41,3.53
279,280,86.0,2010,Sports,Electronic Arts,FIFA Soccer 11,0.69,2.375,0.02,0.42000000000000004,3.505
280,281,66.0,2000,Action,THQ,Rugrats in Paris: The Movie,1.96,1.33,0.0,0.23,3.52
281,282,89.0,1999,Platform,Sony Computer Entertainment,Spyro 2: Ripto's Rage!,2.14,1.21,0.01,0.17,3.52
282,283,89.44,2008,Shooter,Electronic Arts,Left 4 Dead,2.5650000000000004,0.475,0.05,0.29499999999999993,3.3899999999999997
283,284,76.0,2009,Sports,Sega,Mario & Sonic at the Olympic Winter Games,1.205,1.585,0.27,0.37,3.425
284,285,86.32,2009,Action,Capcom,Resident Evil 5,2.04,0.9099999999999999,0.12,0.335,3.405
285,286,87.0,1996,Platform,Nintendo,Donkey Kong Country 3: Dixie Kong's Double Trouble!,1.17,0.5,1.75,0.08,3.51
286,287,90.55,2010,Action,Ubisoft,Assassin's Creed: Brotherhood,2.7,0.925,0.03,0.345,3.995
287,288,76.0,1985,Action,Nintendo,Kung Fu,1.64,0.38,1.42,0.06,3.5
288,289,93.88,2009,Action,Eidos Interactive,Batman: Arkham Asylum,2.0250000000000004,0.905,0.015,0.29999999999999993,3.25
289,290,82.98,2006,Misc,Nintendo,Clubhouse Games,0.585,1.77,0.73,0.345,3.425
290,291,81.0,,Sports,Electronic Arts,FIFA Soccer 2004,0.59,2.36,0.04,0.51,3.49
291,292,89.03,2010,Shooter,Electronic Arts,Battlefield: Bad Company 2,2.035,0.99,0.04,0.32,3.3899999999999997
292,293,74.0,2008,Misc,Activision,Guitar Hero: On Tour,2.0949999999999998,1.005,0.01,0.35,3.46
293,294,89.18,2012,Shooter,Ubisoft,Far Cry 3,0.7,1.35,0.07500000000000001,0.54,2.665
294,295,85.96,2009,Shooter,Take-Two Interactive,Borderlands,2.2750000000000004,0.6950000000000001,0.03,0.28500000000000003,3.285
295,296,81.34999999999998,2002,Fighting,Namco Bandai Games,Tekken 4,1.55,1.27,0.33,0.2899999999999999,3.44
296,297,91.0,2011,Platform,Sony Computer Entertainment,LittleBigPlanet 2,1.695,0.9550000000000001,0.06,0.43999999999999995,3.145
297,298,75.0,1998,Action,Take-Two Interactive,Grand Theft Auto 2,1.13,2.07,0.0,0.22,3.42
298,299,90.0,1994,Role-Playing,SquareSoft,Final Fantasy III,0.86,0.0,2.55,0.02,3.42
299,300,80.97,2004,Action,Activision,Spider-Man 2,1.75,1.2,0.02,0.43,3.41
300,301,66.0,1990,Racing,Nintendo,F-1 Race,1.73,0.69,0.59,0.4,3.41
301,302,81.0,2002,Sports,Electronic Arts,FIFA Soccer 2003,0.46,2.28,0.05,0.61,3.4
302,303,71.27,2000,Misc,Sony Computer Entertainment,Crash Bash,1.56,1.47,0.19,0.17,3.39
303,304,76.0,2008,Action,Warner Bros. Interactive Entertainment,LEGO Batman: The Videogame,1.91,0.9750000000000001,0.0,0.31,3.195
304,305,87.05,2009,Action,Nintendo,The Legend of Zelda: Spirit Tracks,1.3900000000000001,0.885,0.74,0.265,3.275
305,306,80.45999999999998,1998,Fighting,Acclaim Entertainment,WWF War Zone,2.47,0.76,0.0,0.13,3.36
306,307,90.0,2000,Action,Nintendo,The Legend of Zelda: Majora's Mask,1.9,0.67,0.73,0.06,3.36
307,308,90.0,2008,Puzzle,Nintendo,Professor Layton and the Unwound Future,0.585,1.53,0.82,0.28,3.215
308,309,70.0,1998,Adventure,THQ,Rugrats: Search For Reptar,1.63,1.53,0.0,0.18,3.34
309,310,85.0,2006,Misc,Nintendo,English Training: Have Fun Improving Your Skills!,0.0,0.99,2.32,0.02,3.33
310,311,82.29,2002,Shooter,Electronic Arts,James Bond 007: Nightfire,1.45,1.29,0.12,0.46,3.33
311,312,90.0,2002,Platform,Sony Computer Entertainment,Ratchet & Clank,1.44,1.01,0.57,0.3,3.33
312,313,75.05,2012,Misc,Nintendo,Mario Party 9,0.9949999999999999,0.95,0.7150000000000001,0.215,2.875
313,314,79.0,2005,Action,LucasArts,Star Wars Episode III: Revenge of the Sith,1.47,1.39,0.03,0.43,3.32
314,315,79.81,2001,Shooter,Take-Two Interactive,Max Payne,1.99,1.05,0.05,0.22,3.31
315,316,84.89,2003,Action,Electronic Arts,The Lord of the Rings: The Return of the King,1.5,1.28,0.05,0.46,3.28
316,317,77.3,2003,Action,Activision,True Crime: Streets of LA,1.89,1.05,0.02,0.31,3.27
317,318,64.34,2008,Misc,Nintendo,Wii Music,1.3450000000000002,1.1099999999999999,0.46,0.315,3.23
318,319,77.0,1995,Fighting,Sony Computer Entertainment,Tekken,0.95,1.3,0.77,0.22,3.24
319,320,86.0,2011,Adventure,Take-Two Interactive,L.A. Noire,1.19,1.195,0.11499999999999999,0.48,2.98
320,321,62.9,1999,Shooter,Electronic Arts,007: Tomorrow Never Dies,1.72,1.33,0.0,0.16,3.21
321,322,39.0,1983,Sports,Nintendo,Baseball,0.73,0.1,2.35,0.02,3.2
322,323,86.0,1995,Fighting,Nintendo,Killer Instinct,2.26,0.72,0.12,0.1,3.2
323,324,85.0,2000,Fighting,THQ,WWF SmackDown! 2: Know Your Role,1.76,1.21,0.07,0.16,3.2
324,325,81.81,2007,Role-Playing,Square Enix,Crisis Core: Final Fantasy VII,1.3250000000000002,0.575,0.8,0.425,3.13
325,326,91.06,2008,Action,Sony Computer Entertainment,God of War: Chains of Olympus,1.46,0.99,0.04,0.65,3.1399999999999997
326,327,89.0,1995,Role-Playing,Enix Corporation,Dragon Quest VI: Maboroshi no Daichi,0.0,0.0,3.19,0.0,3.19
327,328,86.55,2010,Misc,MTV Games,Dance Central,2.05,0.745,0.01,0.27,3.075
328,329,71.0,2003,Action,Atari,Enter the Matrix,1.78,1.12,0.09,0.19,3.18
329,330,83.11,2010,Role-Playing,Bethesda Softworks,Fallout: New Vegas,1.325,0.9650000000000001,0.1,0.42,2.8049999999999997
330,331,80.0,,Action,Warner Bros. Interactive Entertainment,LEGO Batman: The Videogame,1.725,0.94,0.0,0.28,2.9450000000000003
331,332,83.0,2008,Misc,Nintendo,Rhythm Heaven,0.53,0.495,1.93,0.135,3.0949999999999998
332,333,85.92,2001,Simulation,Sony Computer Entertainment Europe,Ace Combat 04: Shattered Skies,2.06,0.56,0.38,0.17,3.17
333,334,86.36,2001,Simulation,Nintendo,Animal Crossing,1.92,0.16,0.99,0.09,3.15
334,335,81.0,2008,Action,Warner Bros. Interactive Entertainment,LEGO Batman: The Videogame,1.71,0.9850000000000001,0.0,0.28500000000000003,2.99
335,336,84.0,2005,Platform,Sega,Sonic Rush,1.19,1.55,0.06,0.28500000000000003,3.0949999999999998
336,337,73.55,2012,Shooter,Capcom,Resident Evil 6,0.765,0.7949999999999999,0.865,0.33999999999999997,2.7649999999999997
337,338,81.0,2007,Sports,Electronic Arts,FIFA Soccer 08,0.68,0.965,0.0,1.495,3.14
338,339,86.45,2000,Action,Activision,Spider-Man,1.7,1.25,0.02,0.16,3.13
339,340,84.0,1998,Racing,Electronic Arts,Need for Speed III: Hot Pursuit,2.14,0.86,0.0,0.13,3.12
340,341,84.0,1999,Racing,Nintendo,Star Wars Episode I Racer,2.31,0.62,0.14,0.04,3.12
341,342,78.0,2006,Misc,Nintendo,Personal Trainer: Cooking,0.89,1.005,1.03,0.17,3.105
342,343,91.0,2007,Role-Playing,Ubisoft,The Elder Scrolls IV: Oblivion,1.595,0.8200000000000001,0.14,0.4,2.955
343,344,88.0,1990,Role-Playing,Enix Corporation,Dragon Warrior IV,0.08,0.0,3.03,0.01,3.12
344,345,89.23,2010,Adventure,Sony Computer Entertainment,Heavy Rain,1.145,1.075,0.06,0.435,2.71
345,346,95.69,2010,Role-Playing,Electronic Arts,Mass Effect 2,1.955,0.7849999999999999,0.03,0.275,3.04
346,347,76.0,2002,Fighting,Atari,Dragon Ball Z: Budokai,2.17,0.28,0.55,0.08,3.09
347,348,86.0,2001,Sports,Electronic Arts,Madden NFL 2002,2.5,0.16,0.01,0.42,3.08
348,349,90.0,1986,Sports,Namco Bandai Games,World Class Track Meet,1.92,0.45,0.64,0.07,3.08
349,350,89.29,2012,Shooter,Take-Two Interactive,Borderlands 2,1.6549999999999998,0.78,0.035,0.22999999999999998,2.69
350,351,84.0,1994,Platform,Nintendo,Donkey Kong,1.57,0.62,0.55,0.34,3.07
351,352,77.3,2002,Simulation,Electronic Arts,The Sims: Vacation,1.72,1.21,0.0,0.14,3.07
352,353,92.17,2012,Role-Playing,Electronic Arts,Mass Effect 3,1.835,0.7749999999999999,0.03,0.245,2.885
353,354,68.0,2008,Action,Activision,Kung Fu Panda,1.9049999999999998,0.83,0.0,0.2899999999999999,3.03
354,355,89.67,2012,Shooter,Ubisoft,Far Cry 3,1.16,1.155,0.015,0.255,2.59
355,356,86.0,2008,Action,THQ,Saints Row 2,1.83,0.77,0.02,0.27,2.8899999999999997
356,357,79.0,1995,Platform,Ubisoft,Rayman,1.54,1.33,0.0,0.16,3.03
357,358,90.56,2009,Shooter,Sony Computer Entertainment,Killzone 2,1.375,1.0350000000000001,0.08,0.45999999999999996,2.955
358,359,92.59,2002,Action,Ubisoft,Tom Clancy's Splinter Cell,1.85,1.04,0.0,0.13,3.02
359,360,89.0,1987,Fighting,Nintendo,Mike Tyson's Punch-Out!!,2.03,0.47,0.45,0.07,3.02
360,361,86.0,2002,Sports,THQ,WWE SmackDown! Shut Your Mouth,1.45,1.13,0.07,0.38,3.02
361,362,86.0,2012,Sports,Take-Two Interactive,NBA 2K13,2.29,0.155,0.01,0.16999999999999998,2.62
362,363,73.56999999999998,2007,Fighting,Atari,Dragon Ball Z: Budokai Tenkaichi 3,1.15,0.435,0.76,0.655,3.0
363,364,91.0,,Fighting,,wwe Smackdown vs. Raw 2006,1.57,1.02,0.0,0.41,3.0
364,365,86.0,1993,Shooter,Nintendo,Star Fox,1.61,0.51,0.8,0.07,2.99
365,366,77.48,2000,Misc,Electronic Arts,The Sims: Livin Large,1.67,1.18,0.0,0.13,2.99
366,367,90.54,2002,Sports,Konami Digital Entertainment,World Soccer Winning Eleven 6 International,0.12,1.26,1.16,0.45,2.99
367,368,92.6,2001,Action,Capcom,Devil May Cry,1.36,0.86,0.64,0.13,2.99
368,369,85.62,2010,Shooter,Electronic Arts,Battlefield: Bad Company 2,1.28,1.0750000000000002,0.08,0.435,2.865
369,370,83.0,2011,Role-Playing,Electronic Arts,Star Wars: The Old Republic,1.465,0.9450000000000001,0.0,0.355,2.765
370,371,70.6,2003,Platform,Sega,Sonic Heroes,1.04,1.37,0.06,0.49,2.96
371,372,79.5,2008,Platform,Nintendo,Kirby Super Star Ultra,1.54,0.025,1.19,0.15,2.91
372,373,85.02,2002,Action,Eidos Interactive,Hitman 2: Silent Assassin,1.36,1.15,0.04,0.41,2.96
373,374,84.0,2009,Fighting,Capcom,Street Fighter IV,1.425,0.5599999999999999,0.1,0.21000000000000002,2.3
374,375,90.67,1996,Racing,Nintendo,Wave Race 64,1.98,0.5799999999999998,0.34,0.04,2.94
375,376,86.99,2003,Shooter,Sony Computer Entertainment,SOCOM II: U.S. Navy SEALs,2.22,0.51,0.06,0.15,2.94
376,377,91.0,2005,Fighting,THQ,WWE SmackDown! vs. RAW 2006,1.45,1.11,0.04,0.33,2.94
377,378,86.17,2009,Action,Sony Computer Entertainment,inFAMOUS,1.65,0.6399999999999999,0.12,0.35,2.76
378,379,80.0,2001,Puzzle,Atari,Pac-Man Collection,2.07,0.77,0.05,0.05,2.94
379,380,91.24,2007,Role-Playing,Microsoft Game Studios,Mass Effect,1.7850000000000001,0.76,0.03,0.265,2.84
380,381,81.81999999999998,2006,Puzzle,Nintendo,WarioWare: Smooth Moves,0.855,1.0350000000000001,0.73,0.255,2.88
381,382,62.81,2007,Simulation,505 Games,Cooking Mama: Cook Off,1.4049999999999998,1.115,0.05,0.3,2.875
382,383,75.68,2004,Misc,Sega,Sonic Mega Collection Plus,1.54,1.14,0.0,0.22,2.9
383,384,69.08,2008,Sports,Sega,Sega Superstars Tennis,1.74,0.85,0.0,0.28,2.875
384,385,92.97,2003,Sports,Konami Digital Entertainment,World Soccer Winning Eleven 7 International,0.08,1.24,1.13,0.45,2.9
385,386,82.0,2001,Sports,Sony Computer Entertainment,Hot Shots Golf 3,0.99,0.32,1.38,0.2,2.89
386,387,77.18,2004,Shooter,Activision,Call of Duty: Finest Hour,1.51,1.12,0.01,0.24,2.89
387,388,78.0,2011,Sports,Majesco Entertainment,Zumba Fitness 2,1.455,0.99,0.0,0.27,2.71
388,389,87.0,1999,Shooter,Sony Computer Entertainment,Syphon Filter,2.03,0.72,0.02,0.11,2.88
389,390,62.0,2007,Simulation,Ubisoft,Imagine: Babyz,1.295,1.26,0.0,0.31,2.865
390,391,88.82,1998,Racing,Codemasters,Colin McRae Rally,0.09,2.43,0.12,0.22,2.87
391,392,68.0,2012,Sports,Electronic Arts,Madden NFL 13,2.355,0.12,0.0,0.18,2.6550000000000002
392,393,87.0,2002,Role-Playing,Ubisoft,The Elder Scrolls III: Morrowind,2.09,0.63,0.03,0.11,2.86
393,394,90.0,2011,Fighting,Warner Bros. Interactive Entertainment,Mortal Kombat,1.725,0.47000000000000003,0.0,0.28500000000000003,2.4850000000000003
394,395,83.0,1990,Racing,Nintendo,F-Zero,1.37,0.51,0.89,0.07,2.85
395,396,73.0,1997,Platform,Nintendo,Yoshi's Story,1.29,0.53,0.98,0.05,2.85
396,397,91.0,1996,Strategy,Virgin Interactive,Command & Conquer: Red Alert,1.37,1.34,0.0,0.14,2.85
397,398,67.0,2011,Action,Activision,Skylanders: Spyro's Adventure,1.29,1.08,0.0,0.28500000000000003,2.6550000000000002
398,399,76.2,2010,Action,Ubisoft,Assassin's Creed: Brotherhood,1.7650000000000001,1.205,0.11,0.525,3.6
399,400,96.12,2007,Shooter,Take-Two Interactive,BioShock,1.555,0.835,0.05,0.27,2.705
400,401,81.0,2009,Sports,Electronic Arts,Madden NFL 10,2.5,0.09,0.0,0.22,2.81
401,402,78.0,2010,Shooter,Electronic Arts,Medal of Honor,1.24,0.995,0.07,0.41500000000000004,2.715
402,403,86.0,2002,Fighting,THQ,WWE SmackDown! vs. Raw,1.32,1.08,0.04,0.39,2.83
403,404,96.35,2002,Shooter,Nintendo,Metroid Prime,1.96,0.67,0.1,0.09,2.82
404,405,59.0,2003,Action,THQ,Finding Nemo,1.59,1.05,0.04,0.14,2.82
405,406,84.0,1994,Adventure,Red Orb,Myst,2.465,2.79,0.0,0.165,5.419999999999999
406,407,84.0,2010,Racing,Electronic Arts,Need for Speed: Hot Pursuit,0.98,1.175,0.03,0.45999999999999996,2.64
407,408,56.0,2007,Simulation,Ubisoft,Imagine: Fashion Designer,1.315,1.185,0.0,0.3,2.8
408,409,90.0,2003,Fighting,THQ,WWE SmackDown! Here Comes the Pain,1.32,1.06,0.04,0.38,2.8
409,410,82.0,2008,Action,LucasArts,Star Wars: The Force Unleashed,1.675,0.745,0.0,0.255,2.675
410,411,86.0,2006,Platform,Nintendo,Yoshi's Island DS,1.44,0.05500000000000001,1.1,0.14500000000000002,2.745
411,412,84.0,1997,Sports,Sony Computer Entertainment,Hot Shots Golf,0.2899999999999999,0.2,2.13,0.18,2.79
412,413,86.38,2011,Shooter,Sony Computer Entertainment,Killzone 3,1.3599999999999999,0.8049999999999999,0.09,0.365,2.615
413,414,51.9,1998,Platform,Sony Computer Entertainment,A Bug's Life,1.96,0.72,0.0,0.11,2.79
414,415,78.0,2001,Fighting,THQ,WWF SmackDown! Just Bring It,1.19,1.15,0.04,0.41,2.79
415,416,85.0,1996,Fighting,GT Interactive,Mortal Kombat Trilogy,1.98,0.7,0.0,0.11,2.79
416,417,86.82,2011,Shooter,Electronic Arts,Battlefield 3,0.845,1.31,0.0,0.42,2.5700000000000003
417,418,88.0,2001,Sports,Electronic Arts,NBA Street,2.19,0.22,0.0,0.38,2.79
418,419,87.0,2009,Puzzle,Nintendo,Professor Layton and the Last Specter,0.27,1.38,0.68,0.28500000000000003,2.6100000000000003
419,420,90.0,2003,Platform,Sony Computer Entertainment,Jak II,1.68,0.74,0.0,0.36,2.78
420,421,91.0,2003,Platform,Sony Computer Entertainment,Ratchet & Clank: Going Commando,1.44,0.83,0.26,0.25,2.78
421,422,79.65,2009,Fighting,Namco Bandai Games,Tekken 6,1.145,0.9199999999999999,0.17,0.41000000000000003,2.6449999999999996
422,423,81.06999999999998,2003,Simulation,Electronic Arts,The Sims,1.41,1.12,0.0,0.24,2.77
423,424,75.0,2007,Platform,Sega,Sonic and the Secret Rings,1.17,1.18,0.04,0.29000000000000004,2.675
424,425,84.9,2011,Action,THQ,Saints Row: The Third,1.155,1.1099999999999999,0.065,0.28,2.605
425,426,80.0,1992,Misc,Nintendo,Mario Paint,1.43,0.54,0.71,0.07,2.75
426,427,80.0,2000,Strategy,Nintendo,Pokémon Stadium 2,1.02,0.36,1.13,0.23,2.73
427,428,72.0,1986,Action,Nintendo,Metroid,1.33,0.31,1.04,0.05,2.73
428,429,87.0,2011,Adventure,Take-Two Interactive,L.A. Noire,1.4300000000000002,0.8799999999999999,0.02,0.24,2.5700000000000003
429,430,82.36,2006,Shooter,Activision,Call of Duty 3,1.47,0.905,0.02,0.265,2.66
430,431,92.0,2002,Action,Nintendo,The Legend of Zelda: A Link to the Past,1.75,0.52,0.33,0.1,2.7
431,432,85.0,2001,Action,Virgin Interactive,Onimusha: Warlords,0.99,0.48,1.09,0.14,2.7
432,433,82.0,1998,Misc,Nintendo,Mario Party,1.25,0.53,0.87,0.05,2.7
433,434,72.0,2011,Sports,Electronic Arts,Madden NFL 12,2.375,0.095,0.0,0.185,2.6550000000000002
434,435,86.0,2006,Action,LucasArts,LEGO Star Wars II: The Original Trilogy,1.85,0.64,0.01,0.19,2.69
435,436,71.0,2010,Sports,Electronic Arts,Madden NFL 11,2.3499999999999996,0.11499999999999999,0.0,0.195,2.665
436,437,80.08,2010,Puzzle,Nintendo,Mario vs. Donkey Kong: Mini-Land Mayhem!,1.605,0.495,0.35,0.195,2.645
437,438,83.0,2010,Sports,Electronic Arts,Skate 3,1.155,0.76,0.0,0.2,2.115
438,439,93.32,2004,Racing,Electronic Arts,Burnout 3: Takedown,1.23,1.11,0.0,0.34,2.68
439,440,74.0,2009,Racing,Electronic Arts,Need for Speed: Shift,0.6799999999999999,1.37,0.04,0.515,2.6100000000000003
440,441,79.08,2011,Role-Playing,Square Enix,Final Fantasy XIII-2,0.75,0.62,0.88,0.24,2.49
441,442,83.0,1992,Fighting,Arena Entertainment,Mortal Kombat,1.95,0.63,0.0,0.09,2.67
442,443,78.45,2005,Shooter,Activision,Call Of Duty 2: Big Red One,1.48,0.92,0.01,0.26,2.67
443,444,84.44,2008,Misc,Activision,Guitar Hero: World Tour,1.74,0.625,0.0,0.245,2.61
444,445,87.31,1998,Shooter,Electronic Arts,Medal of Honor,1.44,1.09,0.0,0.14,2.67
445,446,85.36,2004,Role-Playing,Microsoft Game Studios,Fable,1.99,0.5799999999999998,0.0,0.09,2.66
446,447,45.0,2006,Action,Disney Interactive Studios,Hannah Montana,1.59,0.8,0.0,0.26,2.645
447,448,88.13,2003,Action,Ubisoft,Tom Clancy's Splinter Cell,1.15,1.11,0.0,0.4,2.65
448,449,63.0,2012,Action,Activision,Skylanders Giants,1.365,0.725,0.0,0.20500000000000002,2.29
449,450,81.0,2006,Shooter,Electronic Arts,Medal of Honor Heroes,0.845,1.0950000000000002,0.01,0.655,2.61
450,451,79.0,1996,Action,Nintendo,Star Wars: Shadows of the Empire,2.0,0.5,0.12,0.03,2.65
451,452,83.0,2007,Action,LucasArts,LEGO Star Wars: The Complete Saga,1.355,0.7150000000000001,0.0,0.215,2.285
452,453,76.98999999999998,2000,Racing,Take-Two Interactive,Midnight Club: Street Racing,2.0,0.47,0.02,0.14,2.63
453,454,82.05,2009,Strategy,Microsoft Game Studios,Halo Wars,1.415,0.78,0.04,0.22999999999999998,2.465
454,455,90.62,2009,Action,Sony Computer Entertainment,God of War Collection,1.665,0.41000000000000003,0.06,0.44499999999999995,2.58
455,456,88.03,2004,Sports,Sega,ESPN NFL 2K5,2.15,0.12,0.0,0.36,2.62
456,457,79.43,2007,Sports,Nintendo,Mario Strikers Charged,1.04,1.03,0.24,0.245,2.555
457,458,76.0,2010,Shooter,Electronic Arts,Medal of Honor,1.51,0.775,0.04,0.22499999999999998,2.55
458,459,87.0,2009,Sports,Electronic Arts,FIFA Soccer 10,0.58,1.78,0.01,0.23,2.5949999999999998
459,460,88.0,2011,Sports,Take-Two Interactive,NBA 2K12,2.255,0.13,0.01,0.18,2.58
460,461,83.0,2008,Simulation,Nintendo,Style Savvy,0.605,0.8,0.96,0.185,2.545
461,462,74.0,2002,Action,Electronic Arts,Harry Potter and the Chamber of Secrets,0.9,1.22,0.04,0.44,2.61
462,463,81.0,2010,Platform,Nintendo,Super Mario All-Stars: Limited Edition,0.995,0.51,0.92,0.15000000000000002,2.575
463,464,84.0,1990,Action,Sega,Streets of Rage,1.86,0.55,0.11,0.08,2.6
464,465,86.0,2008,Sports,Electronic Arts,FIFA Soccer 09,0.46499999999999997,1.615,0.04,0.425,2.55
465,466,88.0,2007,Platform,Sony Computer Entertainment,Ratchet & Clank Future: Tools of Destruction,0.9,1.0750000000000002,0.08,0.44,2.505
466,467,81.84999999999998,2004,Sports,Electronic Arts,NBA Live 2005,2.03,0.21,0.0,0.35,2.59
467,468,84.0,2009,Platform,Sony Computer Entertainment,LittleBigPlanet,0.605,1.125,0.01,0.6349999999999999,2.375
468,469,88.0,2007,Role-Playing,Capcom,Monster Hunter Freedom 2,0.36,0.255,1.75,0.175,2.55
469,470,87.0,2006,Fighting,THQ,WWE SmackDown vs. RAW 2007,1.4,0.88,0.03,0.26,2.58
470,471,92.0,2004,Platform,Sony Computer Entertainment,Ratchet & Clank: Up Your Arsenal,1.31,0.74,0.31,0.22,2.57
471,472,78.45,2010,Misc,Nintendo,Art Academy,0.255,1.6400000000000001,0.33,0.28,2.51
472,473,86.98,2009,Role-Playing,Electronic Arts,Dragon Age: Origins,1.7149999999999999,0.525,0.03,0.22,2.49
473,474,81.0,2007,Sports,Electronic Arts,Madden NFL 08,2.14,0.08,0.0,0.35,2.57
474,475,84.0,2001,Platform,Sega,Sonic Adventure 2 Battle,1.7,0.59,0.21,0.07,2.56
475,476,88.0,1987,Role-Playing,Enix Corporation,Dragon Warrior II,0.15,0.0,2.41,0.0,2.56
476,477,71.0,2012,Sports,Electronic Arts,Madden NFL 13,1.935,0.165,0.0,0.2,2.3
477,478,71.0,2012,Sports,Electronic Arts,Madden NFL 13,0.88,0.055,0.0,0.09,1.025
478,479,78.0,2003,Role-Playing,Nintendo,Pokémon Colosseum,1.21,0.57,0.7,0.07,2.54
