,Rank_avg,Review,Year,Genre,Publisher,Game Title,NA_avg,EU_avg,JP_avg,Other_avg,Global_avg
55,56,90.0,1994,Platform,Nintendo,Donkey Kong Country,4.36,1.71,3.0,0.23,9.3
56,57,72.17,2007,Misc,Nintendo,Mario Party DS,4.365,1.815,1.98,0.7,8.855
57,58,93.0,2011,Role-Playing,Bethesda Softworks,The Elder Scrolls V: Skyrim,4.495,2.61,0.095,0.78,7.975
58,59,90.0,1992,Racing,Nintendo,Super Mario Kart,3.54,1.24,3.81,0.18,8.76
59,60,70.44,2010,Misc,Nintendo,Wii Party,1.7349999999999999,3.405,2.475,0.675,8.29
60,61,94.57,2004,Shooter,Microsoft Game Studios,Halo 2,6.82,1.53,0.05,0.08,8.49
61,62,63.04,2007,Misc,Nintendo,Mario Party 8,3.745,2.125,1.58,0.7050000000000001,8.16
62,63,80.0,2012,Action,Electronic Arts,FIFA Soccer 13,0.95,4.465,0.10500000000000001,1.685,7.2
63,64,86.61,2009,Simulation,Electronic Arts,The Sims 3,0.49,4.55,0.0,0.53,5.569999999999999
64,65,94.59,1997,Shooter,Nintendo,GoldenEye 007,5.8,2.01,0.13,0.15,8.09
65,66,74.0,2007,Sports,Sega,Mario & Sonic at the Olympic Games,2.565,3.83,0.66,0.905,7.965
66,67,91.73,2001,Role-Playing,Sony Computer Entertainment,Final Fantasy X,2.91,2.07,2.73,0.33,8.05
67,68,89.17,1999,Role-Playing,SquareSoft,Final Fantasy VIII,2.28,1.72,3.63,0.23,7.86
68,69,89.0,2008,Role-Playing,Nintendo,Pokémon Platinum Version,2.75,1.7000000000000002,2.69,0.54,7.68
69,70,87.54,2005,Action,Take-Two Interactive,Grand Theft Auto: Liberty City Stories,2.87,2.765,0.24,1.72,7.595
70,71,90.0,2010,Platform,Nintendo,Super Mario Galaxy 2,3.52,2.23,0.98,0.625,7.35
71,72,97.0,1998,Action,Nintendo,The Legend of Zelda: Ocarina of Time,4.1,1.89,1.45,0.16,7.6
72,73,82.0,1988,Platform,Nintendo,Super Mario Bros. 2,5.39,1.18,0.7,0.19,7.46
73,74,85.57,2008,Shooter,Activision,Call of Duty: World at War,4.640000000000001,1.835,0.0,0.675,7.145
74,75,84.9,2011,Shooter,Electronic Arts,Battlefield 3,4.26,2.04,0.055,0.6699999999999999,7.02
75,76,94.58,2006,Action,Nintendo,The Legend of Zelda: Twilight Princess,3.6950000000000003,2.065,0.6,0.6799999999999999,7.035
76,77,68.0,2009,Misc,Ubisoft,Just Dance,3.415,2.965,0.0,0.735,7.115
77,78,84.71,2011,Shooter,Electronic Arts,Battlefield 3,2.685,2.685,0.32499999999999996,1.06,6.75
78,79,85.0,2003,Racing,Electronic Arts,Need for Speed Underground,3.27,2.83,0.08,1.02,7.2
79,80,96.3,1998,Fighting,Sony Computer Entertainment,Tekken 3,3.27,2.22,1.4,0.2899999999999999,7.16
80,81,93.0,2001,Fighting,Nintendo,Super Smash Bros. Melee,4.41,1.04,1.39,0.22,7.07
81,82,86.0,2003,Racing,Nintendo,Mario Kart: Double Dash!!,4.12,1.77,0.87,0.19,6.95
82,83,57.0,2012,Misc,Ubisoft,Just Dance 4,3.585,1.995,0.0,0.535,6.115
83,84,85.0,2004,Racing,Electronic Arts,Need for Speed Underground 2,2.71,3.02,0.08,1.09,6.9
84,85,87.0,2002,Shooter,Electronic Arts,Medal of Honor: Frontline,2.93,2.75,0.17,0.99,6.83
85,86,91.0,2011,Action,Sony Computer Entertainment,Uncharted 3: Drake's Deception,2.6,2.495,0.19,0.9950000000000001,6.29
86,87,51.0,2010,Sports,505 Games,Zumba Fitness,3.355,2.54,0.0,0.665,6.555
87,88,93.32,2008,Shooter,Microsoft Game Studios,Gears of War 2,4.09,1.895,0.06,0.64,6.68
88,89,95.0,2009,Action,Sony Computer Entertainment,Uncharted 2: Among Thieves,3.1550000000000002,2.1,0.21,0.96,6.43
89,90,93.54,2007,Shooter,Activision,Call of Duty 4: Modern Warfare,3.015,2.21,0.28,1.005,6.51
90,91,75.73,2005,Misc,Nintendo,Big Brain Academy,1.66,2.74,1.6,0.615,6.615
91,92,93.0,2010,Action,Take-Two Interactive,Red Dead Redemption,2.575,2.315,0.17,0.9299999999999999,5.984999999999999
92,93,88.0,2010,Platform,Nintendo,Donkey Kong Country Returns,3.05,1.7000000000000002,1.03,0.48,6.255
93,94,90.0,2011,Role-Playing,Bethesda Softworks,The Elder Scrolls V: Skyrim,2.155,2.26,0.225,0.9,5.535
94,95,89.0,1986,Action,Nintendo,The Legend of Zelda,3.74,0.93,1.69,0.14,6.51
95,96,85.56,2012,Action,Ubisoft,Assassin's Creed III,2.395,2.125,0.14500000000000002,0.94,5.605
96,97,95.54,2001,Shooter,Microsoft Game Studios,Halo: Combat Evolved,4.98,1.3,0.08,0.07,6.43
97,98,86.0,2004,Role-Playing,Nintendo,Pokémon Emerald Version,2.57,1.58,2.06,0.21,6.41
98,99,91.0,2002,Role-Playing,Sony Computer Entertainment,Kingdom Hearts,3.64,1.2,1.2149999999999999,0.07,6.125
99,100,88.0,2000,Role-Playing,Nintendo,Pokémon Crystal Version,2.55,1.56,1.29,0.99,6.39
100,101,84.77,2009,Shooter,Microsoft Game Studios,Halo 3: ODST,4.265000000000001,1.32,0.06,0.605,6.25
101,102,93.0,2010,Action,Take-Two Interactive,Red Dead Redemption,3.4450000000000003,1.81,0.09,0.55,5.9
102,103,85.0,2002,Platform,Nintendo,Super Mario Sunshine,4.01,1.26,0.87,0.17,6.31
103,104,92.0,1992,Fighting,Capcom,Street Fighter II: The World Warrior,2.47,0.83,2.87,0.12,6.3
104,105,91.89,2004,Role-Playing,Activision,World of Warcraft,2.015,4.25,0.0,0.0,6.265000000000001
105,106,87.52,1999,Action,GT Interactive,Driver,3.11,2.8,0.02,0.33,6.27
106,107,76.0,2010,Sports,Microsoft Game Studios,Kinect Sports,3.6950000000000003,1.645,0.03,0.52,5.890000000000001
107,108,91.49,2011,Shooter,Microsoft Game Studios,Gears of War 3,3.885,1.54,0.07,0.515,6.02
108,109,91.49,2006,Shooter,Microsoft Game Studios,Gears of War,3.51,1.87,0.07,0.6,6.050000000000001
109,110,95.04,2001,Action,Konami Digital Entertainment,Metal Gear Solid 2: Sons of Liberty,2.45,2.01,0.87,0.72,6.05
110,111,90.0,1992,Platform,Sega,Sonic the Hedgehog 2,4.47,1.2,0.16,0.19,6.03
